 ,lower,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20, 
lower,upper,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,total
0.0,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.1
0.5,1.0,0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.2,0.2,0.1,0.1,0.0,0.0,0,0.0,0.0,0,0,0,1.5
1.0,1.5,0,0,0.0,0.1,0.1,0.3,0.4,0.5,0.4,0.3,0.1,0.1,0.0,0.0,0,0.0,0.0,0,0.0,0,2.4
1.5,2.0,0,0,0,0.0,0.1,0.3,0.3,0.4,0.5,0.4,0.2,0.1,0.1,0.0,0,0.0,0.0,0,0.0,0,2.4
2.0,2.5,0,0,0,0.0,0.1,0.2,0.3,0.4,0.5,0.4,0.3,0.2,0.1,0.0,0,0.0,0.0,0,0,0,2.3
2.5,3.0,0,0,0,0,0.0,0.1,0.1,0.3,0.5,0.5,0.3,0.1,0.1,0.0,0,0.0,0.0,0,0,0,2.1
3.0,3.5,0,0,0,0,0.0,0.0,0.1,0.2,0.3,0.5,0.3,0.2,0.1,0.0,0,0.0,0.0,0,0,0,1.8
3.5,4.0,0,0,0,0,0,0.0,0.0,0.1,0.2,0.3,0.3,0.2,0.1,0.0,0,0.0,0.0,0,0,0,1.3
4.0,4.5,0,0,0,0,0,0,0.0,0.0,0.1,0.3,0.3,0.1,0.1,0.0,0,0.0,0.0,0,0,0,0.9
4.5,5.0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0.2,0.1,0.1,0.0,0,0.0,0.0,0,0,0,0.7
5.0,5.5,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0,0.0,0,0,0,0,0.4
5.5,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0,0.0,0,0,0,0,0.3
6.0,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0,0.0,0,0,0,0,0.2
6.5,7.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0,0.0,0,0,0,0,0.1
7.0,7.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.1
7.5,8.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0
8.0,8.5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
8.5,9.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
9.0,9.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0
9.5,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0
10.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0
10.5,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0
11.0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
,total,0.0,0.0,0.0,0.1,0.4,1.2,1.6,2.3,2.8,3.2,2.5,1.5,0.8,0.4,0.0,0.1,0.0,0.0,0.0,0.0,16.9
